farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26958,30303,Dairy,512,for_profit,43,FALSE,3,20109155,3,20109155,1351651,5,FALSE,0.724,6,9,9,2,3,2,0,98,220
26959,30560,Forest,112,for_profit,70,FALSE,3,1877958,3,1877958,220154,15,FALSE,0.385,3,8,11,0,0,0,0,56,200
26960,29768,SNB,368,for_profit,73,FALSE,1,5660,3,4541.678828223128,474,10,FALSE,0.001,5,8,13,0,0,3,2,148,60
26961,30321,Dairy,288,for_profit,44,FALSE,1,8320,3,8320,559,0,FALSE,0.113,2,13,17,0,1,0,0,179,32
26962,30366,SNB,80,for_profit,53,FALSE,5,304778,3,304778,20486,5,FALSE,0.76,3,13,12,0,0,0,1,102,237
26963,30192,Dairy,336,for_profit,40,FALSE,6,11635886,3,11635886,782114,5,FALSE,0.64,5,9,10,0,3,0,1,109,72
26964,30310,SNB,128,for_profit,59,FALSE,1,960,3,960,65,0,FALSE,0.101,4,14,10,3,0,0,1,80,123
26965,29264,SNB,336,for_profit,73,FALSE,3,2400,3,2400,161,0,FALSE,0,4,12,10,3,0,3,0,109,59
26966,30458,SNB,64,for_profit,49,FALSE,3,256551,3,256551,21490,10,FALSE,0.626,1,17,13,1,0,1,1,54,218
26967,28771,SNB,256,for_profit,66,FALSE,2,354749,3,354749,41587,15,FALSE,0.333,2,8,10,1,0,0,0,61,140
26968,29146,Crop,96,for_profit,47,FALSE,1,1290304,3,397192.03412486444,151263,20,FALSE,0.098,1,9,13,0,0,0,0,69,286
26969,29862,Dairy,96,for_profit,75,FALSE,1,5961,3,4783.20627120814,499,10,FALSE,0.001,1,9,16,1,1,0,0,76,255
26970,29198,Dairy,208,for_profit,78,FALSE,2,5547,3,5547,650,10,FALSE,0,6,10,16,0,4,0,2,136,133
26971,29145,SNB,144,for_profit,65,FALSE,3,379734,3,379734,44516,15,FALSE,0.419,3,14,13,0,0,2,0,133,77
26972,28740,Forest,432,for_profit,40,FALSE,2,2510475,3,2510475,168743,5,FALSE,0.566,3,10,12,0,0,0,0,39,223
26973,30205,Dairy,32,for_profit,46,FALSE,2,1192662,3,1192662,80166,5,FALSE,0.632,1,14,13,1,1,1,0,52,238
26974,29524,Dairy,192,for_profit,45,FALSE,2,7644027,3,7644027,513799,5,FALSE,0.716,4,9,15,0,1,3,2,129,88
26975,29866,SNB,96,for_profit,75,TRUE,2,0,0,0,0,21,TRUE,0,2,10,17,1,0,0,1,140,197
26976,28798,Forest,112,for_profit,62,FALSE,4,1086380,3,1086380,73022,5,FALSE,0.702,1,11,8,0,0,0,0,99,159
26977,29588,Dairy,112,for_profit,69,FALSE,2,0,0,0,0,21,TRUE,0,2,13,8,0,0,0,0,97,252
26978,29491,Dairy,48,for_profit,57,FALSE,2,401947,3,401947,87767,20,FALSE,0.149,2,9,10,1,2,2,0,42,258
26979,29910,Crop,288,for_profit,51,FALSE,2,9715778,3,9715778,653053,5,FALSE,0.787,3,13,10,2,0,1,1,69,162
26980,29806,SNB,160,for_profit,49,FALSE,3,658619,3,658619,55170,10,FALSE,0.526,2,13,16,1,0,1,0,126,44
26981,29849,Forest,256,for_profit,56,FALSE,2,700896,3,401868.2675362142,47111,15,FALSE,0.179,2,13,12,0,0,0,0,96,110
26982,28875,Dairy,80,for_profit,42,FALSE,3,3291594,3,3291594,221247,5,FALSE,0.698,1,16,10,0,0,0,1,72,145
26983,30478,Dairy,160,for_profit,81,FALSE,1,2624,3,2624,308,10,FALSE,0,3,15,10,3,1,3,0,69,137
26984,29501,SNB,96,for_profit,70,FALSE,4,55598,3,55598,12140,20,FALSE,0.136,2,13,8,2,0,0,1,105,71
26985,29937,SNB,464,for_profit,78,FALSE,1,1096,3,879.4487624969167,92,10,FALSE,0,6,10,14,4,0,3,5,97,94
26986,29114,Dairy,112,for_profit,34,FALSE,3,3593204,3,3593204,241520,5,FALSE,0.613,3,12,13,1,0,1,1,140,72
26987,29373,SNB,96,for_profit,47,TRUE,1,4800,3,1477.5756440337698,323,20,FALSE,0.003,1,9,16,0,0,0,1,35,271
26988,30452,Dairy,208,for_profit,42,FALSE,3,4048752,3,4048752,474637,15,FALSE,0.33,1,14,10,0,0,1,0,118,144
26989,29064,Forest,64,for_profit,72,FALSE,3,0,0,0,0,21,TRUE,0,3,14,18,1,0,0,0,133,59
26990,29784,Forest,80,for_profit,67,FALSE,3,583665,3,468342.57478354283,39231,10,FALSE,0.429,1,9,8,0,0,0,0,54,276
26991,30078,Forest,80,for_profit,58,FALSE,3,760439,3,760439,51113,5,FALSE,0.696,1,11,17,0,0,0,0,59,253
26992,29428,Forest,80,for_profit,57,FALSE,4,714306,3,714306,59835,10,FALSE,0.503,1,11,11,0,0,0,0,119,156
26993,29787,Forest,144,for_profit,56,FALSE,4,1659049,3,1659049,111514,5,FALSE,0.709,2,13,13,1,1,1,0,46,243
26994,29633,Dairy,48,pro_environmental,54,FALSE,2,998053,3,998053,117002,15,FALSE,0.364,2,9,10,0,2,2,0,115,85
26995,29611,Dairy,112,for_profit,75,FALSE,1,2520341,3,2520341,295461,15,FALSE,0.394,2,12,16,0,1,0,0,106,126
26996,30340,Forest,32,pro_environmental,51,FALSE,3,284384,3,284384,19115,5,FALSE,0.643,1,11,13,0,0,0,0,83,272
26997,29069,Dairy,144,for_profit,57,FALSE,4,4431686,3,4431686,371227,10,FALSE,0.572,2,12,9,0,0,0,0,85,165
26998,30013,Dairy,32,for_profit,50,FALSE,2,800,3,800,54,0,FALSE,0.143,2,7,13,0,0,0,2,119,175
26999,28871,Forest,112,for_profit,63,FALSE,4,1254534,3,1254534,84324,0,FALSE,2.081,2,16,14,0,0,0,0,116,95
27000,29522,Forest,224,for_profit,47,FALSE,5,1848592,3,1848592,124254,5,FALSE,0.597,1,13,12,0,0,0,0,48,153
27001,29356,Dairy,192,for_profit,54,FALSE,2,7348546,3,7348546,493938,5,FALSE,0.709,3,16,12,2,0,3,0,73,128
27002,30104,Forest,32,for_profit,58,FALSE,3,232284,3,133183.19501949215,19458,15,FALSE,0.301,1,11,9,0,0,0,0,116,126
27003,29626,Dairy,64,pro_environmental,76,FALSE,2,1440,3,1440,97,0,FALSE,0,3,17,13,2,1,0,0,88,133
27004,29819,Dairy,208,for_profit,59,FALSE,4,1435589,3,1435589,313467,20,FALSE,0.134,2,11,13,0,0,0,0,26,275
27005,30328,Forest,160,for_profit,35,FALSE,5,2650076,3,2650076,178127,5,FALSE,0.692,3,13,10,0,0,0,0,88,164
27006,29778,SNB,112,pro_environmental,71,FALSE,2,0,0,0,0,21,TRUE,0,2,11,12,0,0,0,1,111,110
27007,30583,Dairy,32,for_profit,48,FALSE,4,651570,3,651570,76384,15,FALSE,0.358,2,12,16,0,0,0,0,56,256
27008,29832,SNB,272,pro_environmental,56,FALSE,2,650493,3,650493,54490,10,FALSE,0.58,2,13,13,0,0,1,2,50,129
27009,29656,SNB,96,for_profit,67,FALSE,1,0,0,0,0,21,TRUE,0,2,11,9,0,0,1,0,103,228
27010,29764,SNB,96,pro_environmental,60,TRUE,2,4693,3,4693,550,10,FALSE,0.006,2,12,15,1,0,0,1,20,252
27011,28899,Dairy,208,for_profit,49,FALSE,4,6326473,3,6326473,425238,5,FALSE,0.722,4,10,11,0,0,2,0,56,202
27012,29119,Forest,160,for_profit,47,FALSE,3,694297,3,213724.2368595238,81393,20,FALSE,0.098,1,10,10,0,0,0,0,44,273
27013,29091,Dairy,352,for_profit,61,FALSE,4,12551415,3,12551415,843652,5,FALSE,0.697,4,10,10,3,0,2,0,71,113
27014,28820,Forest,64,for_profit,50,FALSE,4,671931,3,385260.7902939608,45164,15,FALSE,0.339,1,10,13,0,0,0,0,132,130
27015,29152,Dairy,112,for_profit,43,FALSE,2,4217570,3,4217570,353291,10,FALSE,0.576,2,11,12,1,0,0,1,121,111
27016,30438,Forest,64,for_profit,66,FALSE,3,508432,3,291516.4118499356,42590,15,FALSE,0.329,1,12,17,0,0,0,0,73,177
27017,29658,Dairy,96,for_profit,60,FALSE,2,1401088,3,1401088,164250,15,FALSE,0.314,2,18,11,0,0,0,0,77,276
27018,30169,SNB,96,pro_environmental,57,FALSE,2,243368,3,243368,20386,10,FALSE,0.626,1,11,18,1,0,0,0,46,222
27019,29821,Forest,96,pro_environmental,58,FALSE,3,1264106,3,1264106,84968,5,FALSE,0.735,2,10,14,0,0,0,0,79,134
27020,29977,Dairy,128,for_profit,79,FALSE,1,640,3,640,43,5,FALSE,0,4,13,10,2,1,0,0,93,122
27021,28996,Forest,384,for_profit,54,FALSE,3,3703698,3,1140102.9078451218,248947,20,FALSE,0.218,1,10,17,0,0,0,0,72,257
27022,29066,Dairy,384,for_profit,45,FALSE,1,7299060,3,7299060,855673,15,FALSE,0.322,1,12,15,0,0,0,0,107,148
27023,29931,SNB,144,for_profit,38,FALSE,3,623385,3,623385,41901,5,FALSE,0.672,2,14,12,1,0,1,0,13,300
27024,30172,Forest,80,for_profit,58,FALSE,4,630013,3,630013,42347,5,FALSE,0.577,1,12,8,0,0,0,0,61,163
27025,29903,Dairy,96,for_profit,64,FALSE,2,0,0,0,0,21,TRUE,0,1,11,12,1,1,1,0,46,150
27026,30206,Forest,800,for_profit,72,FALSE,2,0,0,0,0,21,TRUE,0,9,11,15,0,0,0,0,159,12
27027,29646,Crop,96,for_profit,73,FALSE,1,4000,3,4000,269,5,FALSE,0.001,2,11,10,1,0,0,1,114,91
27028,30486,Dairy,64,for_profit,52,FALSE,3,1973068,3,1973068,132621,5,FALSE,0.668,2,15,11,0,0,0,0,87,126
27029,29858,Crop,128,for_profit,62,FALSE,4,3257678,3,3257678,218967,5,FALSE,0.637,4,8,13,2,0,2,0,123,65
27030,28797,SNB,128,for_profit,66,TRUE,2,638,3,638,139,15,FALSE,0.004,2,17,10,2,0,2,2,94,91
27031,28916,Dairy,96,for_profit,37,FALSE,2,2538871,3,2538871,212673,10,FALSE,0.486,2,13,11,1,0,0,2,54,141
27032,30146,Forest,64,pro_environmental,50,FALSE,2,216052,3,216052,14522,5,FALSE,0.68,2,11,12,0,0,0,1,127,53
27033,30289,Dairy,112,for_profit,74,FALSE,2,0,0,0,0,21,TRUE,0,2,14,8,0,0,0,2,125,42
27034,30364,Dairy,32,for_profit,54,FALSE,4,1016892,3,1016892,68351,5,FALSE,0.631,1,12,14,0,0,1,0,121,225
27035,29171,Dairy,240,for_profit,63,FALSE,3,9463983,3,9463983,636128,5,FALSE,0.65,4,16,14,0,1,3,2,116,119
27036,30256,Forest,112,pro_environmental,52,FALSE,4,2331005,3,2331005,156680,5,FALSE,0.628,4,11,10,1,0,0,2,129,43
27037,30227,Dairy,176,pro_environmental,41,FALSE,3,5429221,3,5429221,364929,5,FALSE,0.744,2,8,12,1,0,1,0,98,243
27038,30201,SNB,176,for_profit,69,FALSE,3,414514,3,414514,48594,15,FALSE,0.337,2,12,17,0,0,1,0,24,268
27039,30350,Dairy,144,for_profit,62,FALSE,3,4066856,3,4066856,340667,10,FALSE,0.56,2,12,11,0,0,1,1,59,158
27040,29319,Dairy,160,for_profit,44,FALSE,4,6899101,3,6899101,463728,5,FALSE,0.738,2,13,13,0,0,0,0,47,143
27041,30365,Forest,144,for_profit,47,FALSE,2,1560769,3,480448.8042422798,104908,20,FALSE,0.189,2,12,10,1,0,0,0,120,74
27042,29305,Dairy,64,for_profit,51,FALSE,4,2195083,3,2195083,147544,5,FALSE,0.61,2,14,11,1,1,1,2,127,76
27043,30301,Dairy,256,for_profit,52,FALSE,2,7811818,3,7811818,525077,5,FALSE,0.601,2,11,17,2,0,0,0,91,111
27044,28775,Dairy,64,pro_environmental,55,FALSE,2,672,3,672,45,0,FALSE,0.144,2,9,13,1,0,1,0,105,139
27045,29918,SNB,272,for_profit,70,FALSE,1,1326,3,1326,155,10,FALSE,0.001,4,12,10,2,0,2,1,12,314
