farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26997,29069,Dairy,144,for_profit,78,FALSE,1,1152,3,1152,77,0,FALSE,0,2,12,9,0,1,1,0,85,165
26998,30013,Dairy,32,for_profit,50,FALSE,2,64,3,64,4,0,FALSE,0.121,2,7,13,0,0,1,1,119,175
26999,28871,Crop,112,pro_environmental,43,TRUE,5,882586,3,271684.911951081,73931,20,FALSE,0.058,2,16,14,0,0,0,0,116,95
27000,29522,Forest,224,for_profit,78,FALSE,3,0,0,0,0,21,TRUE,0,1,13,12,0,0,0,0,48,153
27001,29356,Dairy,192,for_profit,66,FALSE,3,1918928,3,1918928,224957,15,FALSE,0.278,3,16,12,1,0,2,0,73,128
27002,30104,Crop,32,for_profit,64,FALSE,1,1600,3,1600,108,5,FALSE,0.001,1,11,9,1,0,0,1,116,126
27003,29626,Dairy,64,for_profit,69,FALSE,1,1161,3,357.3886089006681,254,20,FALSE,0,3,17,13,2,3,1,1,88,133
27004,29819,Forest,208,pro_environmental,54,FALSE,3,2244721,3,2244721,150881,5,FALSE,0.711,2,11,13,0,0,1,0,26,275
27005,30328,Dairy,160,for_profit,64,FALSE,2,4029216,3,4029216,337514,10,FALSE,0.592,3,13,10,0,0,1,2,88,164
27006,29778,Dairy,112,for_profit,54,FALSE,2,2129839,3,2129839,178409,10,FALSE,0.489,2,11,12,0,0,2,2,111,110
27007,30583,Forest,32,for_profit,64,FALSE,2,334670,3,334670,39234,15,FALSE,0.395,2,12,16,0,0,0,0,56,256
27008,29832,SNB,272,for_profit,78,FALSE,2,0,0,0,0,21,TRUE,0,2,13,13,0,0,0,0,50,129
27009,29656,SNB,96,for_profit,68,FALSE,4,114723,3,114723,13449,15,FALSE,0.299,2,11,9,0,0,0,0,103,228
27010,29764,Dairy,96,for_profit,49,FALSE,2,2029518,3,1628519.2459536656,136415,10,FALSE,0.491,2,12,15,2,0,0,0,20,252
27011,28899,Dairy,208,for_profit,55,FALSE,2,3558992,3,3558992,298125,10,FALSE,0.609,4,10,11,0,1,2,1,56,202
27012,29119,SNB,160,for_profit,60,FALSE,2,0,0,0,0,21,TRUE,0,1,10,10,0,0,0,0,44,273
27013,29091,Dairy,352,for_profit,63,FALSE,2,6110461,3,6110461,511852,10,FALSE,0.509,4,10,10,0,3,1,4,71,113
27014,28820,Dairy,64,for_profit,56,FALSE,3,1716342,3,1716342,115365,5,FALSE,0.605,1,10,13,0,0,0,0,132,130
27015,29152,Dairy,112,for_profit,68,FALSE,3,1473164,3,1473164,172700,15,FALSE,0.302,2,11,12,2,0,0,0,121,111
27016,30438,Dairy,64,for_profit,77,FALSE,1,0,0,0,0,21,TRUE,0,1,12,17,0,1,1,1,73,177
27017,29658,SNB,96,for_profit,57,FALSE,3,383433,3,383433,25773,0,FALSE,1.834,2,18,11,0,0,0,0,77,276
27018,30169,SNB,96,pro_environmental,50,FALSE,4,311494,3,311494,20937,5,FALSE,0.801,1,11,18,0,0,0,1,46,222
