from,to
27036,28350
28418,27036
27097,27037
27037,27107
27037,27389
27037,28068
27037,28560
28567,27037
28233,27038
27038,28261
28288,27038
28405,27038
27039,27405
27483,27039
27502,27039
27039,27512
27039,27645
27039,27669
28335,27039
27095,27040
27143,27040
27397,27040
27702,27040
28008,27040
28012,27040
27040,28182
27040,28445
27041,27393
27041,27555
27706,27041
28115,27041
28154,27041
28163,27041
27041,28549
28601,27041
27138,27042
27042,27393
27492,27042
27931,27042
27042,28034
27139,27043
27325,27043
28260,27043
28485,27043
27083,27044
27044,27505
27044,28041
27044,28408
27044,28594
27045,27109
27168,27045
27297,27045
27922,27045
27045,28055
27045,28160
27046,27516
27046,27763
27789,27046
27046,27896
27082,27047
27047,27298
27581,27047
27047,28504
27169,27048
27971,27048
27048,27987
27048,28023
27048,28043
27048,28129
27048,28165
28382,27048
27048,28589
27048,28659
27053,27049
27049,27316
27049,27363
27049,27416
27049,28268
27361,27050
27050,27575
27823,27050
27050,27870
27050,28000
27098,27051
27051,27226
27051,27545
27051,27671
27051,27979
27051,28405
27051,28719
27127,27052
27940,27052
27052,28156
27052,28592
28662,27052
27053,27137
27316,27053
27053,27363
27053,27552
27814,27053
27053,27964
27053,28268
27053,28509
27054,27366
27845,27054
28180,27054
27055,27164
27055,27207
27055,27641
27739,27055
28114,27055
27055,28122
27055,28187
28428,27055
27055,28434
28496,27055
27056,27368
27785,27056
28465,27056
27056,28721
27109,27057
27188,27057
27057,27336
27057,27379
27999,27057
28160,27057
27057,28390
27222,27058
27269,27058
27536,27058
27058,27664
27058,27677
27058,28051
28415,27058
27059,27152
27059,27619
27690,27059
27861,27059
28088,27059
28196,27059
27059,28403
27059,28443
28496,27059
27059,28537
27175,27060
27330,27060
27413,27060
27487,27060
27060,27503
27061,27267
27398,27061
27566,27061
27061,27833
27061,28541
27476,27062
27062,28558
28599,27062
27062,28621
27361,27063
27559,27063
27063,28000
27063,28344
28650,27063
27528,27064
27788,27064
27064,27923
28278,27064
27628,27065
27065,27782
28397,27065
27066,27255
27560,27066
28039,27066
27066,28185
27275,27067
28031,27067
28307,27067
28629,27067
27068,27146
27068,27369
27068,27597
27671,27068
27820,27068
27068,28654
27069,27178
27069,27301
27069,27367
27459,27069
27069,27496
27440,27070
27070,27569
27070,27763
27070,27789
27070,27896
27070,27920
27070,28279
27071,27087
27071,27147
27195,27071
27071,27406
27071,27744
27071,28427
27072,27643
27686,27072
27757,27072
27072,28365
